Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
062100004,140,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,39846,гр. Криводол,1
062100015,110,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,58788,с. Пудрия,0
062100001,88,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,39846,гр. Криводол,1
062100002,82,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,39846,гр. Криводол,0
031600026,82,Александър Йорданов Александров,ПП ГЕРБ,03. ВАРНА,78519,с. Цонево,0
062700027,66,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,39483,с. Крапец,0
062800001,62,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,48043,гр. Мизия,1
062100003,59,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,39846,гр. Криводол,0
063500004,55,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,48492,с. Михайлово,0
062700015,52,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,4827,с. Боденец,1
063200001,50,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,62997,гр. Роман,0
062700019,37,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,16256,с. Горна Кремена,0
063500005,35,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,48492,с. Михайлово,0
062800003,35,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,48043,гр. Мизия,0
013300052,35,Александър Йорданов Александров,ПП ГЕРБ,01. БЛАГОЕВГРАД,40912,с. Кърналово,0
193300011,34,Александър Йорданов Александров,ПП ГЕРБ,19. РУСЕ,46560,с. Малко Враново,0
063100008,33,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,54020,гр. Оряхово,0
062800002,32,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,48043,гр. Мизия,0
062800004,31,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,48043,гр. Мизия,1
063200003,31,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,62997,гр. Роман,0
062700008,30,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,47714,гр. Мездра,0
062100012,28,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,39236,с. Краводер,0
063200010,27,Александър Йорданов Александров,ПП ГЕРБ,06. ВРАЦА,61488,с. Радовене,0
