Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
293400120,163,Ева Константинова Майдел,ПП ГЕРБ,29. ХАСКОВО,75085,с. Узунджово,1
170100099,64,Ева Константинова Майдел,ПП ГЕРБ,17. ПЛОВДИВ област,43298,с. Леново,0
293400119,47,Ева Константинова Майдел,ПП ГЕРБ,29. ХАСКОВО,75085,с. Узунджово,0
043100003,45,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,69633,гр. Стражица,1
122900064,45,Ева Константинова Майдел,ПП ГЕРБ,12. МОНТАНА,14180,с. Габровница,0
043100002,43,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,69633,гр. Стражица,0
042800080,41,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,77013,с. Хаджидимитрово,0
293300021,41,Ева Константинова Майдел,ПП ГЕРБ,29. ХАСКОВО,77181,гр. Харманли,0
043100001,38,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,69633,гр. Стражица,0
042800034,37,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,1
042800083,35,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,78121,с. Царевец,0
040400102,35,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,62517,с. Ресен,0
123800007,34,Ева Константинова Майдел,ПП ГЕРБ,12. МОНТАНА,22873,с. Долно Церовене,0
040400103,28,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,62517,с. Ресен,0
293300020,27,Ева Константинова Майдел,ПП ГЕРБ,29. ХАСКОВО,77181,гр. Харманли,0
040400112,26,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,83586,с. Шемшево,1
043100005,26,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,69633,гр. Стражица,0
042800024,26,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,1
123600002,24,Ева Константинова Майдел,ПП ГЕРБ,12. МОНТАНА,81390,гр. Чипровци,0
042800041,21,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,237,с. Алеково,0
040400126,21,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,58918,с. Пчелище,0
042000007,19,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,44793,гр. Лясковец,1
043100004,19,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,69633,гр. Стражица,0
042800002,18,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,0
170100004,18,Ева Константинова Майдел,ПП ГЕРБ,17. ПЛОВДИВ област,702,гр. Асеновград,0
123600001,17,Ева Константинова Майдел,ПП ГЕРБ,12. МОНТАНА,81390,гр. Чипровци,1
123800002,16,Ева Константинова Майдел,ПП ГЕРБ,12. МОНТАНА,87299,с. Якимово,1
120700008,15,Ева Константинова Майдел,ПП ГЕРБ,12. МОНТАНА,39743,с. Крива Бара,0
042800022,15,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,0
042800020,15,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,0
043100012,15,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,17155,с. Горски Сеновец,0
042800026,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,0
042800013,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,0
043100016,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,36782,с. Кесарево,1
042200041,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,55573,с. Патреш,1
040400124,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,20242,гр. Дебелец,0
040400105,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,583,с. Арбанаси,0
040400101,14,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,62517,с. Ресен,0
104800041,14,Ева Константинова Майдел,ПП ГЕРБ,10. КЮСТЕНДИЛ,68789,гр. Дупница,1
104800001,13,Ева Константинова Майдел,ПП ГЕРБ,10. КЮСТЕНДИЛ,68789,гр. Дупница,0
104800003,13,Ева Константинова Майдел,ПП ГЕРБ,10. КЮСТЕНДИЛ,68789,гр. Дупница,0
043100019,13,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,44046,с. Лозен,0
042800007,13,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,1
042800031,13,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,1
043100009,13,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,4282,с. Благоево,0
042800047,13,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,7363,с. Българско Сливово,0
042800086,13,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,80457,с. Червена,0
291700002,13,Ева Константинова Майдел,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,0
042800012,12,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,0
042800003,12,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,65766,гр. Свищов,1
040600026,12,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,16359,гр. Горна Оряховица,0
040400095,12,Ева Константинова Майдел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,20242,гр. Дебелец,1
