Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
062100016,490,Емил Йорданов Радев,ПП ГЕРБ,06. ВРАЦА,61933,с. Ракево,0
291700006,221,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,0
201000409,204,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,81966,с. Черник,0
014400009,191,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,66460,гр. Симитли,1
291700016,173,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,46574,с. Малко Градище,0
292800042,143,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,36110,с. Капитан Андреево,1
291700005,140,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,0
122400039,133,Емил Йорданов Радев,ПП ГЕРБ,12. МОНТАНА,72940,с. Трайково,1
203100176,125,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,34134,с. Йорданово,0
292800033,124,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,48979,с. Момково,1
122400041,123,Емил Йорданов Радев,ПП ГЕРБ,12. МОНТАНА,68672,с. Сталийска Махала,1
291700003,114,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,0
122400040,103,Емил Йорданов Радев,ПП ГЕРБ,12. МОНТАНА,68672,с. Сталийска Махала,0
014400008,102,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,66460,гр. Симитли,0
201000413,100,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,11764,с. Водно,0
201000410,95,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,81966,с. Черник,1
292800035,91,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,43205,с. Левка,0
301800022,90,Емил Йорданов Радев,ПП ГЕРБ,30. ШУМЕН,72549,с. Тодор Икономово,1
014200015,90,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,56740,с. Плетена,1
120400017,88,Емил Йорданов Радев,ПП ГЕРБ,12. МОНТАНА,17943,с. Громшин,1
201000422,87,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,37839,с. Козяк,0
291700007,83,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,1
014200016,82,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,56740,с. Плетена,0
292800004,81,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,65677,гр. Свиленград,1
201000403,77,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,24030,гр. Дулово,0
201000401,77,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,24030,гр. Дулово,1
201000416,75,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,58709,с. Прохлада,0
014400003,75,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,66460,гр. Симитли,0
060800019,74,Емил Йорданов Радев,ПП ГЕРБ,06. ВРАЦА,401,с. Алтимир,0
291700010,73,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,0
292800027,73,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,65677,гр. Свиленград,0
292800022,71,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,65677,гр. Свиленград,1
014400018,69,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,40052,с. Крупник,1
201500509,69,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,57306,с. Полковник Чолаково,0
201000405,66,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,24030,гр. Дулово,0
120400006,64,Емил Йорданов Радев,ПП ГЕРБ,12. МОНТАНА,49607,с. Мърчево,0
201000429,63,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,57995,с. Правда,0
201000404,62,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,24030,гр. Дулово,1
014400006,62,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,66460,гр. Симитли,1
292800041,62,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,49446,с. Мустрак,0
291700004,62,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,1
292800036,61,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,70055,с. Студена,0
122400038,61,Емил Йорданов Радев,ПП ГЕРБ,12. МОНТАНА,72940,с. Трайково,0
201000433,61,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,63286,с. Руйно,0
201500507,60,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,35242,с. Кайнарджа,1
150800010,60,Емил Йорданов Радев,ПП ГЕРБ,15. ПЛЕВЕН,22335,с. Долни Вит,0
200100202,57,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,415,гр. Алфатар,0
030100001,57,Емил Йорданов Радев,ПП ГЕРБ,03. ВАРНА,84,с. Аврен,0
293300021,57,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,77181,гр. Харманли,0
291700008,56,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,44570,гр. Любимец,0
200100201,55,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,415,гр. Алфатар,0
201000424,54,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,61724,с. Раздел,1
303000120,54,Емил Йорданов Радев,ПП ГЕРБ,30. ШУМЕН,68504,с. Средня,0
203100169,53,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,2097,с. Бабук,0
200100205,53,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,4145,с. Бистра,0
014400017,53,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,40052,с. Крупник,0
201000419,51,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,47696,с. Межден,0
292800034,51,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,48698,с. Младиново,0
201000402,50,Емил Йорданов Радев,ПП ГЕРБ,20. СИЛИСТРА,24030,гр. Дулово,0
014400007,49,Емил Йорданов Радев,ПП ГЕРБ,01. БЛАГОЕВГРАД,66460,гр. Симитли,0
292800040,49,Емил Йорданов Радев,ПП ГЕРБ,29. ХАСКОВО,61844,с. Райкова Могила,0
