Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
014400021,186,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,57162,с. Полена,0
014400018,149,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,40052,с. Крупник,1
014400022,133,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,57203,с. Полето,0
014400011,108,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,6238,с. Брежани,1
123600003,100,Мария Иванова Габриел,ПП ГЕРБ,12. МОНТАНА,81390,гр. Чипровци,0
014400017,95,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,40052,с. Крупник,0
234617001,84,Мария Иванова Габриел,ПП ГЕРБ,23. СОФИЯ 23 МИР,97015,"гр. София,Кв. Симеоново",0
254613003,81,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
293300020,74,Мария Иванова Габриел,ПП ГЕРБ,29. ХАСКОВО,77181,гр. Харманли,0
013300041,74,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,47189,с. Марикостиново,0
014000007,74,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,65334,гр. Сандански,1
303000069,72,Мария Иванова Габриел,ПП ГЕРБ,30. ШУМЕН,83510,гр. Шумен,0
030602147,71,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,1
234602075,69,Мария Иванова Габриел,ПП ГЕРБ,23. СОФИЯ 23 МИР,68134,гр. София,0
152400091,69,Мария Иванова Габриел,ПП ГЕРБ,15. ПЛЕВЕН,56722,гр. Плевен,0
162205009,67,Мария Иванова Габриел,ПП ГЕРБ,16. ПЛОВДИВ град,56784,гр. Пловдив,0
244606049,67,Мария Иванова Габриел,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,1
234609045,66,Мария Иванова Габриел,ПП ГЕРБ,23. СОФИЯ 23 МИР,68134,гр. София,0
170100015,65,Мария Иванова Габриел,ПП ГЕРБ,17. ПЛОВДИВ област,702,гр. Асеновград,1
192700168,63,Мария Иванова Габриел,ПП ГЕРБ,19. РУСЕ,63427,гр. Русе,0
014000066,63,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,56174,с. Петрово,0
102900041,63,Мария Иванова Габриел,ПП ГЕРБ,10. КЮСТЕНДИЛ,41112,гр. Кюстендил,0
014400025,62,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,81013,с. Черниче,1
030602181,61,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,0
290900063,60,Мария Иванова Габриел,ПП ГЕРБ,29. ХАСКОВО,21539,с. Добрич,0
030601059,59,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,1
015200001,59,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,77058,гр. Хаджидимово,1
014400019,58,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,40052,с. Крупник,0
030602119,58,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,0
030605355,57,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,0
111800004,57,Мария Иванова Габриел,ПП ГЕРБ,11. ЛОВЕЧ,43952,гр. Ловеч,0
014400010,55,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,6238,с. Брежани,0
015200002,55,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,77058,гр. Хаджидимово,0
152400028,55,Мария Иванова Габриел,ПП ГЕРБ,15. ПЛЕВЕН,56722,гр. Плевен,0
123800007,55,Мария Иванова Габриел,ПП ГЕРБ,12. МОНТАНА,22873,с. Долно Церовене,0
132900004,54,Мария Иванова Габриел,ПП ГЕРБ,13. ПАЗАРДЖИК,66264,гр. Септември,0
030601083,54,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,1
254613046,54,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,1
293400074,53,Мария Иванова Габриел,ПП ГЕРБ,29. ХАСКОВО,77195,гр. Хасково,0
020400195,53,Мария Иванова Габриел,ПП ГЕРБ,02. БУРГАС,7079,гр. Бургас,1
254618042,52,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,1
254619114,52,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
120700011,50,Мария Иванова Габриел,ПП ГЕРБ,12. МОНТАНА,22945,с. Дондуково,0
063100004,50,Мария Иванова Габриел,ПП ГЕРБ,06. ВРАЦА,54020,гр. Оряхово,0
162204061,50,Мария Иванова Габриел,ПП ГЕРБ,16. ПЛОВДИВ град,56784,гр. Пловдив,0
061000078,49,Мария Иванова Габриел,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,0
030603283,49,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,0
061000017,48,Мария Иванова Габриел,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,1
143600014,48,Мария Иванова Габриел,ПП ГЕРБ,14. ПЕРНИК,61577,гр. Радомир,0
192700120,47,Мария Иванова Габриел,ПП ГЕРБ,19. РУСЕ,63427,гр. Русе,0
273100040,47,Мария Иванова Габриел,ПП ГЕРБ,27. СТАРА ЗАГОРА,68850,гр. Стара Загора,0
312600024,46,Мария Иванова Габриел,ПП ГЕРБ,31. ЯМБОЛ,87374,гр. Ямбол,0
162204001,46,Мария Иванова Габриел,ПП ГЕРБ,16. ПЛОВДИВ град,56784,гр. Пловдив,0
223100077,45,Мария Иванова Габриел,ПП ГЕРБ,22. СМОЛЯН,67653,гр. Смолян,1
102700009,44,Мария Иванова Габриел,ПП ГЕРБ,10. КЮСТЕНДИЛ,49360,с. Мурсалево,0
102900030,43,Мария Иванова Габриел,ПП ГЕРБ,10. КЮСТЕНДИЛ,41112,гр. Кюстендил,1
062100012,43,Мария Иванова Габриел,ПП ГЕРБ,06. ВРАЦА,39236,с. Краводер,0
192700074,43,Мария Иванова Габриел,ПП ГЕРБ,19. РУСЕ,63427,гр. Русе,1
192700010,42,Мария Иванова Габриел,ПП ГЕРБ,19. РУСЕ,63427,гр. Русе,1
162206054,42,Мария Иванова Габриел,ПП ГЕРБ,16. ПЛОВДИВ град,56784,гр. Пловдив,1
132100001,42,Мария Иванова Габриел,ПП ГЕРБ,13. ПАЗАРДЖИК,56277,гр. Пещера,0
120700002,42,Мария Иванова Габриел,ПП ГЕРБ,12. МОНТАНА,6570,гр. Брусарци,0
040600036,42,Мария Иванова Габриел,ПП ГЕРБ,04. ВЕЛИКО ТЪРНОВО,16359,гр. Горна Оряховица,0
020400155,42,Мария Иванова Габриел,ПП ГЕРБ,02. БУРГАС,7079,гр. Бургас,0
254620034,42,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
254619005,41,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
031600005,41,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,24565,гр. Дългопол,1
143600015,41,Мария Иванова Габриел,ПП ГЕРБ,14. ПЕРНИК,61577,гр. Радомир,1
162206050,41,Мария Иванова Габриел,ПП ГЕРБ,16. ПЛОВДИВ град,56784,гр. Пловдив,0
200100202,41,Мария Иванова Габриел,ПП ГЕРБ,20. СИЛИСТРА,415,гр. Алфатар,0
212000006,41,Мария Иванова Габриел,ПП ГЕРБ,21. СЛИВЕН,67338,гр. Сливен,0
234610064,41,Мария Иванова Габриел,ПП ГЕРБ,23. СОФИЯ 23 МИР,68134,гр. София,1
244607008,41,Мария Иванова Габриел,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,1
244614031,41,Мария Иванова Габриел,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,0
254611033,40,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,1
102700004,40,Мария Иванова Габриел,ПП ГЕРБ,10. КЮСТЕНДИЛ,39116,гр. Кочериново,0
254620022,40,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
030602137,39,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,10135,гр. Варна,0
021300002,39,Мария Иванова Габриел,ПП ГЕРБ,02. БУРГАС,48619,гр. Царево,0
014400026,39,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,81013,с. Черниче,0
013700021,39,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,2693,с. Баня,0
244607049,39,Мария Иванова Габриел,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,0
013300089,38,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,35688,с. Камена,0
021300004,38,Мария Иванова Габриел,ПП ГЕРБ,02. БУРГАС,48619,гр. Царево,1
013700008,37,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,61813,гр. Разлог,1
061000038,37,Мария Иванова Габриел,ПП ГЕРБ,06. ВРАЦА,12259,гр. Враца,1
122900052,37,Мария Иванова Габриел,ПП ГЕРБ,12. МОНТАНА,48489,гр. Монтана,0
254619033,37,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
254618051,36,Мария Иванова Габриел,ПП ГЕРБ,25. СОФИЯ 25 МИР,68134,гр. София,0
320200003,36,Мария Иванова Габриел,ПП ГЕРБ,32. Извън страната,100002,"Австрия, Виена",0
244603055,36,Мария Иванова Габриел,ПП ГЕРБ,24. СОФИЯ 24 МИР,68134,гр. София,1
113300032,36,Мария Иванова Габриел,ПП ГЕРБ,11. ЛОВЕЧ,72343,гр. Тетевен,1
013700004,36,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,61813,гр. Разлог,0
010100008,36,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,2676,гр. Банско,0
020400023,36,Мария Иванова Габриел,ПП ГЕРБ,02. БУРГАС,7079,гр. Бургас,1
031600008,36,Мария Иванова Габриел,ПП ГЕРБ,03. ВАРНА,789,с. Аспарухово,0
013700006,35,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,61813,гр. Разлог,0
013700017,35,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,2960,с. Бачево,0
014000016,35,Мария Иванова Габриел,ПП ГЕРБ,01. БЛАГОЕВГРАД,65334,гр. Сандански,1
182600061,35,Мария Иванова Габриел,ПП ГЕРБ,18. РАЗГРАД,61710,гр. Разград,0
