Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
321500081,72,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100066,"Гърция, Никити",0
320200003,59,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100002,"Австрия, Виена",0
244601019,54,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
244607008,52,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
321300060,51,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100048,"ФР Германия, Мюнхен",0
244601032,50,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601038,48,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601014,48,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
031600016,45,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),03. ВАРНА,55470,с. Партизани,0
320900016,45,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100013,"Белгия, Брюксел",0
321300046,44,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100036,"ФР Германия, Берлин",0
234602075,44,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
234609012,42,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
244604028,41,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
320900017,41,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100013,"Белгия, Брюксел",0
322200104,41,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100086,"Испания, Торревиеха",0
321300065,40,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100052,"ФР Германия, Франкфурт на Майн",0
244601005,40,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601011,39,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
321500080,39,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100065,"Гърция, Неа Муданя",0
244601008,38,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
234609010,38,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
234609045,38,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
244604051,37,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601036,37,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
325800178,37,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100158,"Франция, Нант",0
323200126,36,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100108,"Люксембург, Люксембург",0
244604016,35,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244601017,35,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244607039,35,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
234608003,35,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
234609013,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
234609009,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
